Date,Open,High,Low,Close,Adj Close,Volume
2016-04-15,82.919998,83.580002,82.500000,83.379997,61.997623,2429100
2016-04-18,83.250000,83.790001,83.139999,83.779999,62.295029,2347400
2016-04-19,84.010002,84.010002,83.480003,83.820000,62.324772,3137200
2016-04-20,83.830002,84.000000,82.330002,82.400002,61.268940,4085800
2016-04-21,82.360001,82.529999,80.680000,80.930000,60.175907,5046100
2016-04-22,80.930000,81.949997,80.809998,81.809998,60.830246,3124400
2016-04-25,81.550003,82.500000,81.529999,82.489998,61.335857,2385600
2016-04-26,82.790001,83.279999,82.510002,82.809998,61.573788,3190800
2016-04-27,82.790001,82.919998,81.860001,82.760002,61.536625,3244500
2016-04-28,82.260002,83.089996,81.940002,82.589996,61.410217,2870600
2016-04-29,82.190002,82.370003,81.029999,81.830002,60.845108,4117300
2016-05-02,81.779999,83.309998,81.779999,83.099998,61.789421,4008000
2016-05-03,83.070000,83.290001,82.589996,83.230003,61.886093,3305700
2016-05-04,82.709999,84.580002,82.709999,84.419998,62.770924,4138600
2016-05-05,84.529999,84.820000,84.129997,84.660004,62.949368,3324300
2016-05-06,84.650002,85.660004,84.260002,85.589996,63.640873,3499300
2016-05-09,85.860001,86.669998,85.620003,86.529999,64.339836,4568700
2016-05-10,86.720001,86.820000,86.220001,86.519997,64.332367,4034800
2016-05-11,86.470001,86.470001,84.339996,84.669998,62.956802,4063900
2016-05-12,84.769997,85.440002,84.080002,85.160004,63.321148,3471000
2016-05-13,84.930000,84.930000,83.809998,84.400002,62.756046,3991500
2016-05-16,84.389999,85.449997,84.320000,85.199997,63.350880,3374900
2016-05-17,84.989998,84.989998,83.160004,83.620003,62.176083,4308300
2016-05-18,83.269997,83.360001,81.370003,82.309998,61.202034,4708500
2016-05-19,81.790001,81.980003,80.959999,81.389999,60.517967,4316000
2016-05-20,81.699997,82.190002,81.550003,82.040001,61.001244,3296100
2016-05-23,82.180000,82.360001,81.849998,82.050003,61.008686,2744000
2016-05-24,82.559998,83.209999,82.260002,83.070000,61.767120,2998500
2016-05-25,83.290001,83.290001,82.250000,83.070000,61.767120,3250000
2016-05-26,82.910004,83.480003,82.720001,83.230003,61.886093,3053400
2016-05-27,83.370003,84.029999,83.290001,83.680000,62.220688,3006900
2016-05-31,83.550003,83.919998,83.160004,83.669998,62.213257,4810900
2016-06-01,83.379997,83.949997,83.300003,83.739998,62.265289,4417500
2016-06-02,83.500000,84.199997,83.290001,84.169998,62.585026,8043500
2016-06-03,84.980003,85.239998,84.099998,84.510002,62.837852,4295200
2016-06-06,84.589996,84.769997,83.419998,83.860001,62.354534,3231900
2016-06-07,84.230003,84.620003,83.989998,84.370003,62.733738,2424600
2016-06-08,84.309998,84.980003,84.050003,84.910004,63.135250,3099000
2016-06-09,84.910004,85.260002,84.610001,85.099998,63.276527,4132700
2016-06-10,84.779999,85.019997,84.339996,84.699997,62.979107,2538400
2016-06-13,84.730003,85.360001,84.620003,84.720001,62.993999,3250300
2016-06-14,84.720001,85.019997,84.190002,84.500000,62.830421,3437300
2016-06-15,84.690002,85.589996,84.570000,85.300003,63.425251,2829400
2016-06-16,85.180000,85.809998,84.760002,85.779999,63.782154,2827100
2016-06-17,85.830002,85.830002,84.980003,85.639999,63.678055,4408400
2016-06-20,86.050003,86.790001,85.650002,85.760002,63.767284,3987000
2016-06-21,85.309998,85.570000,84.930000,85.320000,64.010361,3614700
2016-06-22,85.500000,85.510002,84.980003,85.190002,63.912842,3994500
2016-06-23,85.580002,85.940002,85.440002,85.620003,64.235413,1672700
2016-06-24,84.129997,85.720001,83.540001,84.860001,63.665260,5661700
2016-06-27,84.519997,85.050003,83.709999,84.919998,63.710262,4769800
2016-06-28,85.470001,86.720001,85.150002,86.709999,65.053185,5128700
2016-06-29,87.120003,87.879997,87.010002,87.760002,65.840942,4395600
2016-06-30,87.989998,88.669998,87.269997,88.669998,66.523651,6555800
2016-07-01,88.970001,89.400002,88.440002,88.699997,66.546158,4731800
2016-07-05,88.709999,89.680000,88.599998,89.680000,67.281403,3808400
2016-07-06,89.550003,89.650002,88.849998,89.290001,66.988815,4577200
2016-07-07,89.199997,89.260002,87.879997,88.370003,66.298592,5342000
2016-07-08,88.860001,89.839996,88.750000,89.800003,67.371422,2663400
2016-07-11,89.870003,90.589996,89.330002,90.400002,67.821564,3381400
2016-07-12,90.410004,90.540001,89.680000,90.389999,67.814056,3727600
2016-07-13,90.599998,90.889999,90.190002,90.889999,68.189194,4902800
2016-07-14,90.610001,90.839996,89.870003,90.080002,67.581497,3060500
2016-07-15,90.070000,90.180000,89.459999,90.110001,67.604004,3345600
2016-07-18,90.239998,90.379997,90.000000,90.349998,67.784073,2699700
2016-07-19,90.349998,90.790001,89.930000,90.790001,68.114166,1916500
2016-07-20,90.949997,91.040001,90.510002,90.800003,68.121681,2100600
2016-07-21,90.599998,90.980003,90.199997,90.980003,68.256706,2179600
2016-07-22,90.889999,92.050003,90.699997,91.779999,68.856888,2482900
2016-07-25,91.809998,92.139999,91.300003,91.610001,68.729362,2374700
2016-07-26,91.690002,91.970001,90.940002,91.160004,68.391754,2460200
2016-07-27,91.139999,91.139999,89.699997,90.449997,67.859085,3935200
2016-07-28,90.309998,91.650002,90.099998,91.290001,68.489281,2853100
2016-07-29,91.540001,92.919998,91.199997,92.449997,69.359558,3502600
2016-08-01,92.330002,92.750000,92.260002,92.650002,69.509605,3335100
2016-08-02,92.379997,92.540001,91.000000,91.169998,68.399246,3877100
2016-08-03,90.849998,91.230003,90.150002,90.639999,68.001610,3829400
2016-08-04,90.750000,90.919998,90.110001,90.269997,67.724014,2649700
2016-08-05,90.320000,90.599998,90.010002,90.330002,67.769073,2941600
2016-08-08,90.269997,90.910004,90.110001,90.489998,67.889084,2240200
2016-08-09,90.639999,90.980003,89.940002,90.980003,68.256706,3474300
2016-08-10,91.239998,91.400002,90.589996,90.879997,68.181702,5302900
2016-08-11,90.849998,90.889999,89.370003,89.849998,67.408936,4788300
2016-08-12,90.050003,91.059998,89.779999,90.230003,67.694031,2972100
2016-08-15,90.370003,90.680000,90.099998,90.139999,67.626526,2961400
2016-08-16,89.839996,89.949997,88.940002,89.059998,66.816254,4166800
2016-08-17,88.980003,89.489998,88.370003,89.419998,67.086327,5192000
2016-08-18,89.290001,89.690002,88.669998,89.089996,66.838760,4074800
2016-08-19,88.970001,89.070000,88.260002,88.519997,66.411133,3284900
2016-08-22,88.750000,89.070000,88.540001,89.000000,66.771240,3671000
2016-08-23,89.309998,89.510002,89.010002,89.050003,66.808762,6526100
2016-08-24,89.279999,89.290001,88.160004,88.660004,66.516151,6064800
2016-08-25,88.900002,89.599998,88.620003,89.059998,66.816254,3219700
2016-08-26,89.220001,89.769997,87.589996,88.180000,66.156044,5844000
2016-08-29,88.370003,89.330002,88.360001,89.050003,66.808762,3318600
2016-08-30,89.239998,89.349998,88.099998,88.879997,66.681183,3431900
2016-08-31,88.790001,89.269997,88.470001,88.970001,66.748741,5003000
2016-09-01,89.070000,89.099998,88.300003,88.750000,66.583672,4098000
2016-09-02,89.269997,90.610001,89.129997,89.519997,67.161362,4439500
2016-09-06,89.910004,90.220001,89.120003,90.209999,67.679039,3874300
2016-09-07,90.089996,90.800003,89.790001,90.750000,68.084160,2874200
2016-09-08,90.349998,90.500000,89.550003,89.639999,67.251389,3123900
2016-09-09,88.620003,88.870003,86.070000,86.089996,64.588051,7589300
2016-09-12,85.919998,87.510002,85.660004,87.110001,65.353310,7088200
2016-09-13,86.080002,86.110001,84.150002,84.339996,63.712521,7223000
2016-09-14,84.559998,85.080002,84.269997,84.610001,63.916470,4781900
2016-09-15,84.580002,85.059998,84.129997,84.930000,64.158203,4320500
2016-09-16,84.830002,85.050003,84.349998,84.970001,64.188431,6251400
2016-09-19,85.250000,85.839996,85.160004,85.739998,64.770081,3407700
2016-09-20,86.139999,86.250000,85.610001,85.610001,64.671890,3905800
2016-09-21,85.760002,86.839996,84.599998,86.709999,65.502869,6905000
2016-09-22,87.510002,88.339996,87.290001,88.260002,66.673767,3575700
2016-09-23,88.019997,88.830002,87.290001,88.529999,66.877731,4722300
2016-09-26,88.279999,88.949997,88.000000,88.739998,67.036346,3440200
2016-09-27,89.029999,89.029999,87.650002,87.800003,66.326271,6479800
2016-09-28,87.940002,88.589996,87.669998,88.519997,66.870186,2676300
2016-09-29,88.220001,88.279999,87.080002,87.339996,65.978790,4662800
2016-09-30,87.650002,88.190002,86.730003,86.739998,65.525513,6718600
2016-10-03,86.010002,86.290001,84.949997,85.120003,64.301743,10473900
2016-10-04,85.000000,85.040001,83.459999,83.959999,63.425442,7415500
2016-10-05,84.120003,84.550003,82.169998,82.260002,62.141228,8125200
2016-10-06,81.849998,82.889999,81.110001,82.290001,62.163876,6760300
2016-10-07,82.800003,83.629997,81.769997,82.150002,62.058121,6036800
2016-10-10,82.150002,83.010002,82.150002,82.660004,62.443401,2818300
2016-10-11,82.550003,82.739998,81.639999,81.860001,61.839062,4306600
2016-10-12,81.989998,82.919998,81.860001,82.800003,62.549164,3492600
2016-10-13,82.470001,83.589996,82.220001,83.449997,63.040173,3633600
